# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 216 11/23/2011 Service Pack 1 SJ Web Edition
# File: C:\Users\paul.maxwell\Documents\MARC2_DE2\MARC2_DE2.csv
# Generated on: Thu Nov 08 10:39:28 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved,Current Strength,I/O Bank,VREF Group,Differential Pair,Slew Rate,Fitter I/O Rule Results
clk,Input,PIN_Y2,,,,2,B2_N0,,,Pass
lcd_data[7],Bidir,PIN_M5,,,,1,B1_N2,,,Pass
lcd_data[6],Bidir,PIN_M3,,,,1,B1_N1,,,Pass
lcd_data[5],Bidir,PIN_K2,,,,1,B1_N1,,,Pass
lcd_data[4],Bidir,PIN_K1,,,,1,B1_N1,,,Pass
lcd_data[3],Bidir,PIN_K7,,,,1,B1_N1,,,Pass
lcd_data[2],Bidir,PIN_L2,,,,1,B1_N2,,,Pass
lcd_data[1],Bidir,PIN_L1,,,,1,B1_N2,,,Pass
lcd_data[0],Bidir,PIN_L3,,,,1,B1_N1,,,Pass
LCD_E,Output,PIN_L4,,,,1,B1_N1,,,Pass
LCD_ON,Output,PIN_L5,,,,1,B1_N1,,,Pass
LCD_RS,Output,PIN_M2,,,,1,B1_N2,,,Pass
LCD_RW,Output,PIN_M1,,,,1,B1_N2,,,Pass
reg_select[2],Input,PIN_AC27,,,,5,B5_N2,,,Pass
reg_select[1],Input,PIN_AC28,,,,5,B5_N2,,,Pass
reg_select[0],Input,PIN_AB28,,,,5,B5_N1,,,Pass
reset,Input,PIN_M23,,,,6,B6_N2,,,Pass
RESET_LED,Output,PIN_E21,,,,7,B7_N0,,,Pass
run,Input,PIN_Y23,,,,5,B5_N2,,,Pass
SEC_LED,Output,PIN_H15,,,,7,B7_N2,,,Pass
